contact_id,phone_e164,phone_local,contact_type,agent_company,market_states,office_address,website,npc_profile_url,extraction_date,verification_note
NPC-0163,+2348062193003,08062193003,Phone,Davochi Real Homes Ltd.,Imo,"Road 1, Shop C77, Ikota Complex, Vgc, Lagos., Eti_osa, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/davochi-real-homes-ltd-50204,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0164,+2348054563213,08054563213,Phone,Harris Consult Realty,"Anambra, Enugu","No 5, Bale Close, Ifako, Gbagada, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/harris-consult-realty-14093,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0165,+2347052255658,07052255658,Phone,Bridgepoint Realty,Delta,"Delta State, Nigeria",,https://nigeriapropertycentre.com/agents/bridgepoint-realty-244305,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0166,+2347052090092,07052090092,WhatsApp,Jide Taiwo And Co. Estate Surveyors And Valuers,"Abia, Abuja, Akwa Ibom, Anambra, Cross River, Delta, Edo, Imo, Ondo, Rivers","Plot 136 Sinari Daranijo Street, Off Ligali Ayorinde Street, Victoria Island, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/jide-taiwo-and-co-estate-surveyors-and-valuers-43577,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0167,+2348071782892,08071782892,Phone + WhatsApp,Empresss Properties,Edo,"5,unity Estate, Badore, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/empresss-properties-170739,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0168,+2347017141256,07017141256,Phone,Bncglobal,Rivers,"Badore, Badore, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/bncglobal-50833,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0169,+2347052090118,07052090118,Phone,Jide Taiwo And Co. Estate Surveyors And Valuers,"Abia, Abuja, Akwa Ibom, Anambra, Cross River, Delta, Edo, Imo, Ondo, Rivers","Plot 136 Sinari Daranijo Street, Off Ligali Ayorinde Street, Victoria Island, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/jide-taiwo-and-co-estate-surveyors-and-valuers-43577,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0170,+2347038451502,07038451502,Phone,Knight Angels Realties Ltd,"Abuja, Akwa Ibom, Cross River, Delta, Enugu, Kaduna, Rivers","6 Behind Iyanga Market, Asaba, Delta, Nigeria",,https://nigeriapropertycentre.com/agents/knight-angels-realties-ltd-101753,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0171,+2349057134671,09057134671,Phone,Abbey & Co,Abuja,"No 8 Agunbiade Street, Egbeda, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/abbey-co-162379,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0172,+2348060549805,08060549805,Phone,E&j Property Hub Naija Limited,"Abuja, Ondo","Suites D212-214 Akord Shopping Mall, Bogije Lagos, Ibeju Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/ej-property-hub-naija-limited-67324,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0173,+2348023413642,08023413642,Phone,Mausi Realty,Ekiti,"9 Ishaga Street, Ojodu Berger, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/mausi-realty-3495,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0174,+2348141600811,08141600811,Phone + WhatsApp,Joe Okafor & Associates,Kaduna,"Opp Jos Road, Ahmadu Bello Way, Kaduna, Nigeria",,https://nigeriapropertycentre.com/agents/joe-okafor-associates-51357,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0175,+2349155336141,09155336141,Phone,D's Square Properties & Home's,Enugu,"Abraham Adesunya, Ajah, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/ds-square-properties-homes-170500,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0176,+2349134069117,09134069117,Phone + WhatsApp,Davochi Real Homes Ltd.,Imo,"Road 1, Shop C77, Ikota Complex, Vgc, Lagos., Eti_osa, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/davochi-real-homes-ltd-50204,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0177,+2349081007978,09081007978,Phone,Harris Consult Realty,"Anambra, Enugu","No 5, Bale Close, Ifako, Gbagada, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/harris-consult-realty-14093,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0178,+2348164577663,08164577663,Phone + WhatsApp,Caleb Realty,"Abuja, Delta","Warri, Delta, Nigeria",,https://nigeriapropertycentre.com/agents/caleb-realty-45821,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0179,+2347058931774,07058931774,WhatsApp,Legit Properties,"Abia, Abuja, Akwa Ibom, Anambra, Delta, Edo, Enugu, Imo, Rivers","Ikota, Ajah, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/legit-properties-161891,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0180,+2348127704440,08127704440,Phone + WhatsApp,Energy Potentates Limited,Edo,"12, Afolabi Aina Street, Ikeja, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/energy-potentates-limited-24979,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0181,+2347039500340,07039500340,Phone + WhatsApp,Bncglobal,Rivers,"Badore, Badore, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/bncglobal-50833,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0182,+2348151917169,08151917169,Phone + WhatsApp,Knight Angels Realties Ltd,"Abuja, Akwa Ibom, Cross River, Delta, Enugu, Kaduna, Rivers","6 Behind Iyanga Market, Asaba, Delta, Nigeria",,https://nigeriapropertycentre.com/agents/knight-angels-realties-ltd-101753,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0183,+2349129101903,09129101903,Phone,Legit Properties,"Abia, Abuja, Akwa Ibom, Anambra, Delta, Edo, Enugu, Imo, Rivers","Ikota, Ajah, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/legit-properties-161891,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0184,+2349130692900,09130692900,Phone + WhatsApp,Abbey & Co,Abuja,"No 8 Agunbiade Street, Egbeda, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/abbey-co-162379,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0185,+2349059227043,09059227043,Phone + WhatsApp,E&j Property Hub Naija Limited,"Abuja, Ondo","Suites D212-214 Akord Shopping Mall, Bogije Lagos, Ibeju Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/ej-property-hub-naija-limited-67324,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0186,+2348063768619,08063768619,Phone + WhatsApp,Mausi Realty,Ekiti,"9 Ishaga Street, Ojodu Berger, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/mausi-realty-3495,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0187,+2348079792025,08079792025,Phone,Poc Nigeria Limited,Kaduna,"Chris Efuyemi Onanuga Street, Lekki Phase 1, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/poc-nigeria-limited-127636,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0188,+2348083731029,08083731029,Phone + WhatsApp,Diamond Stones Homes Ltd,Enugu,"11 Our Saviour Street, Agungi, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/diamond-stones-homes-ltd-174484,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0189,+2349161345919,09161345919,Phone,Davochi Real Homes Ltd.,Imo,"Road 1, Shop C77, Ikota Complex, Vgc, Lagos., Eti_osa, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/davochi-real-homes-ltd-50204,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0190,+2348164466352,08164466352,Phone + WhatsApp,Hss_realty,Anambra,"C253, Ikota Complex, Ikota, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/hss-realty-156108,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0191,+2349043125026,09043125026,Phone,Caleb Realty,"Abuja, Delta","Warri, Delta, Nigeria",,https://nigeriapropertycentre.com/agents/caleb-realty-45821,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0192,+2348057081122,08057081122,Phone + WhatsApp,Loftcode Ltd,"Abia, Abuja, Enugu, Imo, Rivers","32, Ado Road, Ajah, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/loftcode-ltd-4264,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0193,+2347052192810,07052192810,Phone + WhatsApp,Ep Construction & Consult Ltd,"Abuja, Delta, Edo","46gh Gods Hand Plaza Ugolo Junction, Warri, Delta, Nigeria",,https://nigeriapropertycentre.com/agents/ep-construction-consult-ltd-153472,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0194,+2348036751720,08036751720,Phone + WhatsApp,Ceekon Isl,Rivers,"Peter Odili Road, Port Harcourt, Rivers State, Nigeria",,https://nigeriapropertycentre.com/agents/ceekon-isl-165424,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0195,+2348036599268,08036599268,Phone + WhatsApp,Propellr Homes,"Abuja, Cross River","Abayomi Shonuga Crescent, Lekki Phase 1, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/propellr-homes-172799,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0196,+2348057258957,08057258957,Phone,Life Hedge Resources,"Akwa Ibom, Rivers","Plot 53 Line C (maitama), Ewet Housing Estate, Uyo, Akwa Ibom, Nigeria",,https://nigeriapropertycentre.com/agents/life-hedge-resources-21727,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0197,+2348033836595,08033836595,Phone,Abl Properties Ltd,Abuja,"Ndola Crescent, Wuse Zone 5, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/abl-properties-ltd-206105,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0198,+2347039184687,07039184687,Phone,Fideltee Mega Construction Company,Ondo,"St. Micheal Complex, Surulere Road, Ondo City, Ondo, Nigeria",,https://nigeriapropertycentre.com/agents/fideltee-mega-construction-company-26092,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0199,+2347063357229,07063357229,Phone + WhatsApp,Midde Real Estate Consultant,Ekiti,"Ajibodu St. Karaoke Estate Ogba, Ikeja, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/midde-real-estate-consultant-19625,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0200,+2348152100735,08152100735,Phone + WhatsApp,Poc Nigeria Limited,Kaduna,"Chris Efuyemi Onanuga Street, Lekki Phase 1, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/poc-nigeria-limited-127636,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
